產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"電機機械","1514","亞力","一般","785373","665758","685","1147","972","1023 ","-5.00 %","3.04","1005","855","3.85",
"電機機械","1515","力山","一般","542716","471211","730","743","645","630 ","2.40 %","1.76","1005","855","3.85",
"其他","1516","川飛","一般","9300","8075","6","1550","1346","1535 ","-12.30 %","-6.13","1184","1017","3.42",
"電機機械","1517","利奇","一般","309056","251498","583","530","431","372 ","15.90 %","-0.42","1005","855","3.85",
"電機機械","1519","華城","一般","1939430","1757391","1036","1872","1696","1483 ","14.40 %","14.93","1005","855","3.85",
"汽車工業","1521","大億","一般","583497","467421","807","723","579","621 ","-6.80 %","1.15","1040","881","5.81",
"汽車工業","1522","堤維西","一般","1285036","1054842","1645","781","641","600 ","6.80 %","4.76","1040","881","5.81",
"汽車工業","1524","耿鼎","一般","384950","324565","477","807","680","647 ","5.10 %","3.61","1040","881","5.81",
"汽車工業","1525","江申","一般","250602","207920","326","769","638","626 ","1.90 %","4.12","1040","881","5.81",
"電機機械","1526","日馳","一般","122265","101694","162","755","628","648 ","-3.10 %","-0.91","1005","855","3.85",
"電機機械","1527","鑽全","一般","510926","440283","667","766","660","548 ","20.40 %","3.21","1005","855","3.85",
"電機機械","1528","恩德","一般","188932","164385","222","851","740","701 ","5.60 %","-0.81","1005","855","3.85",
"電機機械","1529","樂事綠能","一般","56652","47247","87","651","543","572 ","-5.10 %","-0.13","1005","855","3.85",
"電機機械","1530","亞崴","一般","284701","241019","325","876","742","725 ","2.30 %","4.68","1005","855","3.85",
"電機機械","1531","高林股","一般","135547","115522","123","1102","939","710 ","32.30 %","0.47","1005","855","3.85",
"電機機械","1532","勤美","一般","330296","282741","324","1019","873","852 ","2.50 %","3.05","1005","855","3.85",
"汽車工業","1533","車王電","一般","303349","247136","428","709","577","528 ","9.30 %","-1.11","1040","881","5.81",
"電機機械","1535","中宇","一般","1648495","1441902","1266","1302","1139","1170 ","-2.60 %","4.06","1005","855","3.85",
"汽車工業","1536","和大","一般","706636","578969","942","750","615","647 ","-4.90 %","0.70","1040","881","5.81",
"電機機械","1537","廣隆","一般","170412","149818","121","1408","1238","921 ","34.40 %","11.75","1005","855","3.85",
"電機機械","1538","正峰","一般","32118","28507","28","1147","1018","749 ","35.90 %","-1.70","1005","855","3.85",
"電機機械","1539","巨庭","一般","93693","76791","146","642","526","489 ","7.60 %","1.41","1005","855","3.85",
"電機機械","1540","喬福","一般","69064","57273","90","767","636","612 ","3.90 %","2.12","1005","855","3.85",
"電機機械","1541","錩泰","一般","217055","177279","374","580","474","476 ","-0.40 %","1.06","1005","855","3.85",
"電機機械","1558","伸興","一般","303796","263129","271","1121","971","1044 ","-7.00 %","6.81","1005","855","3.85",
"電機機械","1560","中砂","一般","1882075","1519137","1719","1095","884","794 ","11.30 %","7.10","1005","855","3.85",
"汽車工業","1563","巧新","一般","1119134","925185","1465","764","632","609 ","3.80 %","3.30","1040","881","5.81",
"汽車工業","1568","倉佑","一般","255052","209411","342","746","612","618 ","-1.00 %","1.59","1040","881","5.81",
"電子零組件業","1582","信錦","一般","367335","327200","223","1647","1467","1277 ","14.90 %","7.13","1162","998","6.57",
"電機機械","1583","程泰","一般","370185","305466","398","930","768","728 ","5.50 %","11.37","1005","855","3.85",
